
2025-03-08,Costco,Produce,VINE TOMATO,1,each,6.59,6.59
2025-03-08,Costco,Alcohol,KS CAB 3L,1,each,15.59,15.59
2025-03-08,Costco,CRV,CA REDEMP VA,1,each,0.25,0.25
2025-03-08,Costco,Alcohol,KS GRIGIO 3L,1,each,14.79,14.79
2025-03-08,Costco,CRV,CA REDEMP VA,1,each,0.25,0.25
2025-03-08,Costco,Alcohol,KS LAGER,1,each,13.99,13.99
2025-03-08,Costco,CRV,CA REDEMP VA,1,each,0.60,0.60
2025-03-08,Costco,Eggs,KS CAGE FREE,1,each,8.59,8.59
2025-03-08,Costco,Eggs,KS CAGE FREE,1,each,8.59,8.59
2025-03-08,Costco,Eggs,KS CAGE FREE,1,each,8.59,8.59
2025-03-08,Costco,Dairy,SLC CHEDDAR,1,each,12.59,12.59
2025-03-08,Costco,Dairy,KS U/S QTRS,1,each,13.59,13.59
2025-03-08,Costco,Pantry,KS BLUEBERRY,1,each,8.29,8.29
2025-03-08,Costco,Meat,KS RST TURKY,1,each,12.49,12.49
2025-03-08,Costco,Other,ORG SILK ALM,1,each,10.99,10.99
2025-03-08,Costco,Dairy,A2YOGURT,1,each,8.99,8.99
2025-03-08,Costco,Pantry,UTZ PUB MIX,1,each,8.99,8.99
2025-03-08,Costco,Pantry,UTZ PUB MIX,1,each,-2.30,-2.30
2025-03-08,Costco,Produce,CRNM APPLE,1,each,5.99,5.99
2025-03-08,Costco,Produce,STRAWBERRIES,1,each,4.99,4.99
2025-03-08,Costco,Pantry,KS SPRIN OIL,1,each,22.99,22.99
2025-03-08,Costco,Produce,ORG SPINACH,1,each,3.89,3.89
2025-03-08,Costco,Pantry,KS ALBACORE,1,each,14.99,14.99
2025-03-08,Costco,Produce,GUER CORN 6",1,each,4.29,4.29
2025-03-08,Costco,Pantry,KODIAK CAKES,1,each,12.79,12.79
2025-03-08,Costco,Produce,LEMONS,1,each,5.59,5.59
2025-03-08,Costco,Produce,10LB BAKERS,1,each,4.59,4.59
2025-03-08,Costco,Pantry,CHOMPS STICK,1,each,16.99,16.99
2025-03-08,Costco,Bakery,DAVE'S 21 WG,1,each,9.49,9.49
2025-03-08,Costco,Bakery,DAVE'S 21 WG,1,each,-2.50,-2.50
2025-03-08,Costco,Produce,AVOCADOS,1,each,9.99,9.99
2025-03-08,Costco,Produce,BANANAS,1,each,1.49,1.49
2025-03-08,Costco,Produce,BANANAS,1,each,1.49,1.49
2025-03-08,Costco,Produce,BANANAS,1,each,1.49,1.49
2025-03-08,Costco,Produce,BANANAS,1,each,1.49,1.49
2025-03-08,Costco,Produce,GRAPEFRUIT,1,each,4.79,4.79
2025-03-08,Costco,Produce,GRAPEFRUIT,1,each,4.79,4.79
2025-03-08,Costco,Produce,GRAPEFRUIT,1,each,-4.79,-4.79
2025-03-08,Costco,Produce,GRAPEFRUIT,1,each,6.89,6.89
2025-03-08,Costco,Produce,MIXED PEPPER,1,each,3.99,3.99
2025-03-08,Costco,Produce,OG CARROT&LB,1,each,3.79,3.79
2025-03-08,Costco,Pantry,KS HOUSE,1,each,15.49,15.49
2025-03-08,Costco,Produce,4LB ORG FUJI,1,each,5.29,5.29
2025-03-08,Costco,Produce,CARA ORANGES,1,each,4.29,4.29
2025-03-08,Costco,Pantry,KS ALMONDS,1,each,11.79,11.79
2025-01-18,Costco,Pantry,KS OATS,1,each,7.99,7.99
